"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
324,231.34,"Private room","False","True",2,"True",0,0,10,97,1,2.20450569243866,0.282696886287762,656.338892679529,25.3420031261084,636.603537294436,13.9840408761406,2.17692,41.4063
325,182.93,"Private room","False","True",2,"False",0,0,10,92,1,2.19428509024469,0.300526365916134,319.515216160606,12.3368517348169,736.008823874614,16.1676410439147,2.14866,41.39863
326,738.24,"Entire home/apt","False","False",4,"False",0,1,10,89,2,1.35861974510388,0.615053981180912,623.818479555378,24.0863523940757,847.878496068819,18.6250418862236,2.174,41.399
327,329.56,"Private room","False","True",2,"False",1,0,10,97,1,1.63776474103214,0.345302644404057,993.936325176776,38.3770301298924,817.050225332336,17.947848353885,2.17486,41.40143
328,258.11,"Private room","False","True",2,"False",0,1,10,100,1,1.81489061347173,0.519796458532165,331.524224494103,12.8005334244491,945.297727533242,20.7650150957828,2.14947,41.39242
329,138.94,"Private room","False","True",2,"False",1,0,9,89,1,1.27345679059942,0.302285901752005,415.925341942475,16.0593581049302,1010.43842763903,22.1959374196694,2.16555,41.37617
330,377.5,"Private room","False","True",2,"False",0,1,10,93,1,0.63248342894453,0.086731622130035,478.073380501361,18.4589656933377,1212.20462402033,26.6280628671824,2.163,41.385
331,307.68,"Private room","False","True",2,"False",0,1,10,88,1,0.632466043129445,0.0867092424078768,478.077578875408,18.4591277974114,1212.21697581228,26.6283341945524,2.163,41.385
332,447.32,"Private room","False","True",3,"False",0,1,10,95,1,0.632466959149659,0.0867118659920803,478.077299196709,18.4591169986936,1212.2147852128,26.6282860744418,2.163,41.385
333,254.61,"Private room","False","True",2,"True",0,0,9,93,1,0.15532900449839,0.172723395789271,623.004465084344,24.0549223546559,1359.57233811207,29.8652364249052,2.17122,41.3882
334,367.49,"Private room","False","True",2,"False",0,1,10,95,1,0.632459961726117,0.0867001274054405,478.079099624132,18.459186515277,1212.22266737253,26.6284592190088,2.163,41.385
335,165.24,"Private room","False","True",2,"False",1,0,8,83,1,2.54036004137611,0.575252980256468,453.919493294839,17.5263561955272,582.061456445639,12.7859346084612,2.17522,41.40968
336,180.6,"Private room","False","True",2,"True",0,0,10,99,1,1.72382517616355,0.415032652813674,360.372894775822,13.9144139221881,814.024636411501,17.8813863305617,2.16514,41.37205
337,229.25,"Private room","False","True",2,"False",0,1,9,91,1,0.508464057149151,0.265564869260862,653.717030596937,25.2407700012176,1434.03018126581,31.500825078145,2.16471,41.38938
338,173.62,"Private room","False","True",2,"False",1,0,8,92,2,1.16250536594166,0.422484758006286,620.489823910113,23.9578291529439,1672.64182553262,36.7423212236603,2.18053,41.38029
339,509.23,"Entire home/apt","False","False",5,"False",1,0,9,93,1,0.245639854659496,0.229456349834734,584.432515411126,22.5656148031742,1508.57481726097,33.1383202785074,2.16805,41.38549
340,167.8,"Private room","False","True",2,"False",1,0,10,88,1,0.939444515090842,0.269383384236312,801.294102446116,30.9388912886451,1498.79334000225,32.9234540865972,2.1728,41.37894
341,159.66,"Private room","False","True",2,"False",1,0,10,97,1,1.63851015278572,0.448019355794031,397.836756546926,15.3609369192384,813.26181376299,17.8646296798786,2.17432,41.37274
342,572.77,"Private room","False","True",4,"False",0,1,9,92,1,0.216660829753666,0.201549949971759,692.485579278212,26.7376684675946,1534.74418553212,33.7131733764996,2.17169,41.38565
343,112.18,"Private room","False","True",2,"False",1,0,8,87,1,0.861460410307705,0.219425351519952,549.8181201199,21.2291129998186,1290.19621717057,28.3412761352763,2.17968,41.38982
344,514.81,"Entire home/apt","False","False",4,"False",0,1,9,88,2,2.43129886168954,0.377972281821957,278.769657580723,10.7636186315783,655.943463422216,14.408874075563,2.14298,41.39521
345,514.81,"Entire home/apt","False","False",4,"False",0,1,10,94,2,2.29848113535944,0.572410694674147,285.549042115772,11.0253785028834,687.908575908907,15.1110402016327,2.14386,41.39352
346,208.53,"Private room","False","True",2,"False",0,0,9,96,1,2.60690224101248,0.385541561683518,259.913558066407,10.0355628388046,568.931868358309,12.4975216705118,2.13904,41.38444
347,127.31,"Private room","False","True",2,"False",0,0,10,92,1,0.886471413019054,0.555098101534696,507.468067743892,19.593928536923,1268.97983774541,27.8752235613523,2.16679,41.37953
348,514.81,"Entire home/apt","False","False",4,"False",0,1,9,90,2,2.39387831385387,0.410067499764456,281.126511851682,10.854619498613,674.513377138224,14.8167926893595,2.14332,41.39494
